Tipo,Marca,Nombre,Referencia,Categoria,Descripcion,Precio total,Imagenes
Producto,Growers,Sustrato Growers Super Soil (25lt.),3045,FERTILIZANTES,STOCKA,1500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510416/club-cannabico-sustrato-growers-super-soil-20lts_txb77t.jpg
Producto,Growers,Sustrato Growers Super Soil (50lt.),3046,FERTILIZANTES,STOCKA,3455,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510416/club-cannabico-sustrato-growers-super-soil-20lts_txb77t.jpg
Producto,Top Crop,Top Crop - Big One 250mL.,,FERTILIZANTES,STOCKA,2420,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510336/Smonkey/products/Captura_de_pantalla_2022-12-15_161139_sn90jh.png
Producto,Top Crop,Top Crop - Veg 250mL.,567117658716817867,FERTILIZANTES,STOCKA,1500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510335/Smonkey/products/Captura_de_pantalla_2022-12-15_160443_iiikrj.png
Producto,Top Crop,Top Crop - Bloom 250mL.,SKU: 658974177687,FERTILIZANTES,STOCKA,1500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510333/Smonkey/products/TOP_CROP_BLOOM_wxsioe.png
Producto,Top Crop,Top Crop - Candy 250mL.,SKU: 65741564756765,FERTILIZANTES,STOCKA,1399,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510333/Smonkey/products/TOP_CROP_CANDY_hrunfm.png
Producto,Top Crop,Top Crop - Deeper 250mL.,SKU: 4685765876741646,FERTILIZANTES,STOCKA,2000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510333/Smonkey/products/TOP_DEEPER_emq3hj.png
Producto,Clipper,Clipper - Lighter,SKU: 5916254312348,PARAFERNALIA,STOCKA,400,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510337/Smonkey/products/CLIPPER_gjtcd8.png
Producto,Greenhouse,Greenhouse - Feeding (Long) 250g.,,FERTILIZANTES,STOCKA,4000.01,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510338/Smonkey/products/GREENHOUSE_FEEDING_LONG_tdn4r9.png
Producto,Greenhouse,Greenhouse - Feeding (Short) 125g.,,FERTILIZANTES,STOCKA,4000.01,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510339/Smonkey/products/GREENHOUSE_FEEDING_SHORT_vxtlif.png
Producto,Greenhouse,Greenhouse - Feeding Calcium 500g.,,FERTILIZANTES,STOCKA,9000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510338/Smonkey/products/GREENHOUSE_FEEDING_CALCIUM_ihkjwj.png
Producto,Greenhouse,GREENHOUSE FEEDING STARTER KIT MINERAL,,FERTILIZANTES,STOCKA,19500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510339/Smonkey/products/GREENHOUSE_FEEDING_STARTER_KIT_gzixcn.png
Producto,Skogbio,Skogbio - Alga Delta Bioestimulante 100mL.,,BIOESTIMULANTE,STOCKA,1200,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510331/Smonkey/products/SKOGBIO_ALGA_DELTA_BIOESTIMULANTE_200ML_4_ntclkh.png
Producto,Skogbio,Skogbio - Alga Delta Bioestimulante 200mL.,,BIOESTIMULANTE,STOCKA,2100,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510331/Smonkey/products/SKOGBIO_ALGA_DELTA_BIOESTIMULANTE_100ML_fm9vbf.png
